,DATE,VOLUME,SOCIAL_VOLUME,SOCIAL_DOMINANCE,TWITTER_VOLUME,BEARISH_SENTIMENT,BULLISH_SENTIMENT,MARKET_DOMINANCE,MARKET_CAP
0,2020-05-28,323397658.0,4413,1.5793485768684308,3510,97,2871,0.7050747637663609,2009838491.0
1,2020-05-29,356079926.0,4811,1.8513672641632863,3557,136,2929,0.700936823719862,2001768445.0
2,2020-05-30,576417163.0,4307,1.871380093938328,3530,146,2956,0.8053415861340384,2355803446.0
3,2020-05-31,843188906.0,5197,2.3424787815684738,4300,209,3617,0.7984160051073963,2286182861.0
4,2020-06-01,662528019.0,4129,1.5311647086744986,3386,82,2679,0.8278286422066915,2523766285.0
5,2020-06-02,570640001.0,4567,1.4939092205634137,3747,152,3137,0.8444719064079821,2442831131.0
6,2020-06-03,563684650.0,4500,1.7190532218877497,3626,142,2903,0.899262171868522,2655099742.0
7,2020-06-04,615984772.0,4899,1.8931870000386444,3810,167,3181,0.9207042074067132,2737291957.0
8,2020-06-05,356925834.0,3716,1.4735973859112037,2887,102,2298,0.9014315642421186,2645992245.0
9,2020-06-06,227971116.0,3425,1.5444346241950904,2671,70,2134,0.9104975256971192,2682821749.0
10,2020-06-07,322353703.0,3861,1.8804700931711809,3232,139,2664,0.9119273659639276,2689851115.0
11,2020-06-08,207692804.0,5809,2.3581803567514026,4716,305,3349,0.8976347350683135,2681879228.0
12,2020-06-09,209933624.0,6008,2.3956584671454264,5002,81,4178,0.8722414440975944,2598761655.0
13,2020-06-10,328319472.0,4444,1.5352990965780515,3612,98,2977,0.8579287937214439,2579245845.0
14,2020-06-11,323708335.0,3554,1.2802086372658144,2805,71,2418,0.8290562701120737,2342985525.0
15,2020-06-12,259553510.0,5276,1.9909809619049417,4312,61,3668,0.8535033640643865,2457616440.0
16,2020-06-13,165242217.0,3813,1.5639612147462716,3093,65,2629,0.8482471905220895,2452888999.0
17,2020-06-14,202111592.0,3396,1.506213797202239,2747,68,2373,0.836196245773802,2377983688.0
18,2020-06-15,393417202.0,3977,1.607498696458814,3188,99,2632,0.8621527103222596,2443309880.0
19,2020-06-16,296624272.0,3540,1.3457108318317634,2734,84,2349,0.8477564828724409,2443031642.0
20,2020-06-17,374425977.0,3583,1.298268371602599,2642,79,2294,0.8985433461844183,2576311067.0
21,2020-06-18,323815171.0,4288,1.5612086259689288,3265,65,2683,0.8979460580591193,2547484600.0
22,2020-06-19,280255697.0,4461,1.7174470444203185,3416,48,2568,0.8781010190716375,2479643322.0
23,2020-06-20,240407923.0,3343,1.41893039049236,2368,59,1975,0.8704665644103377,2472373688.0
24,2020-06-21,229071022.0,2621,1.1946216955332725,1778,51,1446,0.8602043936124787,2434977013.0
25,2020-06-22,278499673.0,3104,1.0650526178540425,2167,96,1741,0.882838156756344,2581632736.0
26,2020-06-23,254252088.0,3374,1.1224703663165738,2509,47,1829,0.8811879601088565,2565054864.0
27,2020-06-24,389881257.0,3816,1.389556478042386,2826,79,2367,0.9069730195280628,2566926184.0
28,2020-06-25,278759483.0,3653,1.419886968757045,2696,67,2338,0.9042474082546316,2540358381.0
29,2020-06-26,238668796.0,3298,1.2546650485621569,2352,44,1890,0.9002432867799682,2510458698.0
30,2020-06-27,224132031.0,2678,1.1480160499331251,1821,43,1469,0.8942127770624034,2415380272.0
31,2020-06-28,272071830.0,2905,1.203646157033354,1989,47,1506,0.9123972925576233,2497256242.0
32,2020-06-29,364099817.0,4150,1.541278406875216,3091,70,2459,0.9413384762234356,2605329136.0
33,2020-06-30,273737964.0,5078,1.580223247766433,3932,109,3337,0.9417167179077888,2591943808.0
34,2020-07-01,529022079.0,6863,2.5654540289178964,5184,585,4151,1.0447185361195557,2912186586.0
35,2020-07-02,516228586.0,6959,2.953283878524504,5614,1048,4110,1.0606954847535246,2901822985.0
36,2020-07-03,560541051.0,7793,3.2596192858367803,6190,1028,4723,1.0984269679941072,3006361729.0
37,2020-07-04,425956302.0,5421,2.4302987102067166,3984,599,3115,1.1201185301689864,3107077825.0
38,2020-07-05,359399920.0,4278,2.243890669338215,3328,589,2516,1.1083448644237472,3053990579.0
39,2020-07-06,451246113.0,4487,1.6411250502907722,3409,563,2603,1.1481543265097387,3263937254.0
40,2020-07-07,731772012.0,6399,2.3585914060138737,5206,850,4034,1.2906571115232377,3649043103.0
41,2020-07-08,1384587013.0,8572,2.426507013148769,6770,977,5377,1.3850101199068665,4041244169.0
42,2020-07-09,810928206.0,5433,2.0565990597106456,4175,816,2911,1.3484347154596965,3863286918.0
