,DATE,VOLUME,SOCIAL_VOLUME,SOCIAL_DOMINANCE,TWITTER_VOLUME,BEARISH_SENTIMENT,BULLISH_SENTIMENT,MARKET_DOMINANCE,MARKET_CAP
0,2020-05-28,296862912.0,1291,0.4620301411142406,1102,22,903,0.8850962259717411,2522995510.0
1,2020-05-29,292911798.0,1112,0.4279194341612087,927,10,803,0.8811388731305867,2516397958.0
2,2020-05-30,328568775.0,1108,0.4814230657264144,956,21,811,0.8974733072234293,2625309243.0
3,2020-05-31,310682906.0,809,0.3646460139097354,634,14,571,0.8803020446810292,2520655190.0
4,2020-06-01,344283787.0,1146,0.4249733001067995,931,34,582,0.8729881090822308,2661442048.0
5,2020-06-02,279086750.0,4130,1.350962356235362,3900,10,3344,0.8831438572597848,2554698731.0
6,2020-06-03,282545796.0,1767,0.6750148984612564,1507,31,1250,0.8797413233372301,2597463825.0
7,2020-06-04,248956329.0,1403,0.5421803145650578,1147,13,963,0.8737445471051276,2597678931.0
8,2020-06-05,263317385.0,1399,0.5547800707453643,1142,9,1006,0.8905781315112709,2614133921.0
9,2020-06-06,241036127.0,1726,0.7783048646308689,1418,11,828,0.8832300566864216,2602476930.0
10,2020-06-07,218799560.0,1154,0.5620467463143078,925,14,721,0.8748125420362971,2580376003.0
11,2020-06-08,184979847.0,1585,0.643435335763638,1320,35,1043,0.8613015117842109,2573325812.0
12,2020-06-09,183964466.0,1258,0.5016208974149378,1011,36,780,0.8627165380834576,2570383090.0
13,2020-06-10,199848267.0,1272,0.4394465460952479,961,24,816,0.8571175811159517,2576807045.0
14,2020-06-11,193118508.0,1197,0.4311788797994316,926,16,777,0.8539658021433673,2413382041.0
15,2020-06-12,203917408.0,1566,0.5909545463121946,1311,11,1146,0.8569038638911284,2467407994.0
16,2020-06-13,202251074.0,1455,0.5967908647930305,1216,11,1042,0.8613687806310718,2490832896.0
17,2020-06-14,180757210.0,1371,0.6080739446302325,1101,9,1006,0.8625360701880737,2452889158.0
18,2020-06-15,186085402.0,1011,0.4086450043047173,777,18,665,0.8554164049443816,2424219432.0
19,2020-06-16,183244433.0,3773,1.4342844543788822,3513,24,3386,0.8443153468076907,2433115110.0
20,2020-06-17,183436635.0,1678,0.6080084642894671,1262,34,1179,0.8461556178143669,2426104530.0
21,2020-06-18,167264728.0,1881,0.6848492130241499,1337,20,1191,0.8454512036685435,2398556018.0
22,2020-06-19,148485549.0,1694,0.6521755869195291,1097,22,978,0.8374874356291447,2364955833.0
23,2020-06-20,162150418.0,1402,0.5950764006791172,930,7,825,0.8437715152298252,2396552123.0
24,2020-06-21,138273616.0,4176,1.903372835004558,3749,34,2460,0.8347841041712298,2363019905.0
25,2020-06-22,175597439.0,2642,0.906529966614169,2055,51,1560,0.8349815081896361,2441688297.0
26,2020-06-23,144110986.0,4396,1.46247176358259,3911,16,3755,0.8326668089207486,2423814379.0
27,2020-06-24,151702155.0,1669,0.6077488893744083,1157,38,1046,0.8384938408181873,2373115571.0
28,2020-06-25,127867038.0,1347,0.5235663145129317,769,12,709,0.8402056508079948,2360441896.0
29,2020-06-26,128199539.0,2253,0.8571135095241175,1682,10,1402,0.8362978486828189,2332137589.0
30,2020-06-27,136981735.0,1414,0.6061593333104701,880,22,716,0.8306629249411333,2243724193.0
31,2020-06-28,146144806.0,1963,0.8133416200538637,1419,21,1167,0.8335543658340355,2281461004.0
32,2020-06-29,156140782.0,2495,0.9266240060611236,1968,22,1176,0.8290705895586243,2294606900.0
33,2020-06-30,140346521.0,2084,0.6485201355544007,1522,16,1263,0.831474118739833,2288516443.0
34,2020-07-01,147074240.0,1445,0.540154607574874,851,58,608,0.8403968648607122,2342633343.0
35,2020-07-02,133382893.0,924,0.3921302347688808,585,82,421,0.8329349003837802,2278721531.0
36,2020-07-03,136390922.0,939,0.3927604913898033,621,101,475,0.8289304416437003,2268757804.0
37,2020-07-04,148157132.0,624,0.2797466141245141,407,90,279,0.8324330321020136,2309071893.0
38,2020-07-05,138716282.0,619,0.324677027657867,436,168,250,0.8342733399526758,2298799771.0
39,2020-07-06,141795790.0,1027,0.37562634870707,814,45,753,0.8483251215368948,2411592156.0
40,2020-07-07,187394812.0,1322,0.4872726736600001,1039,123,809,0.8782613963979471,2483086842.0
41,2020-07-08,196942520.0,1525,0.4316872602720337,1177,132,1000,0.8731417513303853,2547691862.0
42,2020-07-09,166171430.0,861,0.3259215517045584,614,114,488,0.8706837034710434,2494522666.0
43,2020-07-10,157404502.0,1012,0.3957252290474831,740,104,591,0.9020041567565744,2559877646.0
44,2020-07-11,174597118.0,1010,0.4820381144196213,757,154,561,0.9217832284173296,2611399678.0
45,2020-07-12,210645143.0,1493,0.7181199014929968,1177,98,1016,0.9298394243922486,2708212368.0
46,2020-07-13,248638204.0,1301,0.4879512423816222,990,32,855,0.9603198399353832,2727686515.0
47,2020-07-14,188655410.0,1496,0.5374837425539101,1089,63,998,0.9283370478497122,2682367821.0
48,2020-07-15,154707541.0,1013,0.1802013345216303,656,55,582,0.9100239633858146,2608619831.0
49,2020-07-16,160557966.0,709,0.1412829045692764,446,56,372,0.8935070880457227,2540760265.0
50,2020-07-17,141374618.0,911,0.3149916670700588,591,97,479,0.8838322975622476,2530762114.0
51,2020-07-18,133448404.0,882,0.3832916145181476,596,73,497,0.8950884059906881,2540611069.0
52,2020-07-19,204754637.0,1026,0.4621038787900625,705,72,579,0.9317267827331804,2663037106.0
53,2020-07-20,197682976.0,1011,0.412035848341464,646,43,516,0.9022452527777178,2589036692.0
54,2020-07-21,180390325.0,721,0.2574843670205737,441,35,316,0.892088788528848,2622195037.0
55,2020-07-22,188603541.0,716,0.2113634417997774,443,31,342,0.8787660241515906,2669488505.0
56,2020-07-23,221778731.0,1576,0.5102701582614552,1223,108,741,0.9225340578679418,2766986372.0
57,2020-07-24,250703798.0,1968,0.7445886790739557,1626,139,774,0.9496297182667456,2836248759.0
58,2020-07-25,262387752.0,1318,0.5624378565911486,1009,146,566,0.9509399614958904,2930160098.0
59,2020-07-26,249659473.0,1054,0.4717192241248131,803,88,494,0.9191969366313488,2893912969.0
60,2020-07-27,328718854.0,1090,0.290004682644417,841,187,418,0.8636947003766173,2911464207.0
61,2020-07-28,288850211.0,1101,0.2826207491375062,850,240,381,0.8782147761012122,2986166696.0
62,2020-07-29,205683941.0,1441,0.3910150653410324,1144,287,449,0.8631454087319697,2940330535.0
63,2020-07-30,195466909.0,1035,0.3437202150659046,757,109,504,0.8607942646230894,2963421363.0
64,2020-07-31,227807972.0,1109,0.4080356157327348,782,77,460,0.8759299770716772,3070501498.0
65,2020-08-01,265418862.0,816,0.2844226325127136,567,67,397,0.8613388039725691,3201084145.0
66,2020-08-02,303968097.0,678,0.2619733003612758,407,54,289,0.8754348941959745,3096594626.0
67,2020-08-03,273300188.0,1126,0.4300993124522536,831,75,614,0.9074449015891334,3248827519.0
68,2020-08-04,262176183.0,1044,0.3484902095614497,743,81,580,0.9079951216407408,3298526031.0
69,2020-08-05,357768082.0,1132,0.404937953632458,798,29,717,0.9183156581066108,3445525202.0
70,2020-08-06,251813932.0,1023,0.3453864073736453,733,106,583,0.892426738773813,3356858319.0
71,2020-08-07,329590485.0,1113,0.3986989446836559,816,71,577,0.8420160888418609,3298199283.0
72,2020-08-08,250083411.0,706,0.2618684648795813,453,32,328,0.8486895219439408,3381300505.0
73,2020-08-09,224252357.0,756,0.2787651735276331,509,32,404,0.8814788790645721,3315283163.0
74,2020-08-10,249132236.0,1113,0.3371930271026848,850,54,494,0.8726046862578367,3344552521.0
75,2020-08-11,324663730.0,975,0.314112848665262,718,43,542,0.8538255149099083,3134539190.0
76,2020-08-12,262814169.0,884,0.2779437195409526,487,22,378,0.8346171982732992,3190105461.0
77,2020-08-13,303233552.0,1142,0.2414126232166223,764,36,699,0.7897695654750754,3223641723.0
78,2020-08-14,368345802.0,1057,0.2402758739836012,538,43,478,0.8688596237265244,3404128107.0
79,2020-08-15,283697154.0,1012,0.3442820935889367,502,34,450,0.8118407622718149,3390236051.0
80,2020-08-16,281115356.0,879,0.3202524128232126,518,40,450,0.8829320912836228,3473029672.0
81,2020-08-17,279621395.0,846,0.2586143650191974,438,34,366,0.8588627485595456,3477052496.0
82,2020-08-18,281839202.0,970,0.3110150633893588,521,35,432,0.8591814313989353,3403114535.0
83,2020-08-19,246151551.0,729,0.2596255551321455,342,49,285,0.8537176106267336,3305246210.0
84,2020-08-20,262486335.0,1200,0.4086372288947384,753,33,677,0.8652088566089752,3415317036.0
