,DATE,VOLUME,SOCIAL_VOLUME,SOCIAL_DOMINANCE,TWITTER_VOLUME,BEARISH_SENTIMENT,BULLISH_SENTIMENT,MARKET_DOMINANCE,MARKET_CAP
0,2020-05-28,36823116440.0,147482,52.78166481162698,123173,8393,87681,61.60228553368865,175599313664.0
1,2020-05-29,34754198898.0,132134,50.84775765598663,109118,8619,80166,60.72479773430862,173420741813.0
2,2020-05-30,33604249842.0,114800,49.880295979596006,95947,6996,70201,60.88242016983188,178094634260.0
3,2020-05-31,30274600798.0,109704,49.44762213838519,90178,6263,67619,60.623169643373096,173588267935.0
4,2020-06-01,36517470595.0,130811,48.50888513112614,106985,7873,80606,61.6372285807534,187910820503.0
5,2020-06-02,43308695473.0,164816,53.91288419014223,135730,10150,102299,60.582679597515806,175249472004.0
6,2020-06-03,28366006197.0,129814,49.59048332136364,103882,8649,75652,60.16784226819396,177647439735.0
7,2020-06-04,27556132594.0,132466,51.19063260810759,106824,7936,76558,60.539102439747325,179985273076.0
8,2020-06-05,25857303681.0,129031,51.1678536871659,106355,7947,78110,60.48031018363464,177529208061.0
9,2020-06-06,22208342616.0,113125,51.0114355801663,92140,6634,65596,60.42336537939331,178040153007.0
10,2020-06-07,25744065575.0,105444,51.35568207830665,86685,6536,63217,60.84262899059601,179463430464.0
11,2020-06-08,22802821817.0,120810,49.04316903066569,98296,7212,72438,60.09860530116252,179557669609.0
12,2020-06-09,25156907458.0,129600,51.677319797278166,105923,7905,75476,60.2945296315408,179641901532.0
13,2020-06-10,27441827581.0,137796,47.60532725294088,112582,8870,81998,60.40716629478917,181605902278.0
14,2020-06-11,34619427438.0,140887,50.74979017402048,116012,9334,85841,60.6115001614472,171293400275.0
15,2020-06-12,27972789310.0,128160,48.36317666371064,106861,8942,78234,60.6179893819012,174546198102.0
16,2020-06-13,22038298281.0,118999,48.80928942921364,100263,6444,71223,60.32447809622413,174441189250.0
17,2020-06-14,21385161260.0,113899,50.51715114474023,94651,6815,70363,60.491859058738505,172027385707.0
18,2020-06-15,32726502229.0,129982,52.53857067214221,105986,8524,76439,61.2366788581941,173542553055.0
19,2020-06-16,27095527615.0,123932,47.11204373180059,101197,7615,70749,60.88792775987307,175464460772.0
20,2020-06-17,24741341598.0,117423,42.547185877390994,95006,7815,68614,60.69860505040008,174035552772.0
21,2020-06-18,22383490400.0,114679,41.75322854885513,90352,8547,65538,61.00795685550773,173080363984.0
22,2020-06-19,23888856337.0,120504,46.393014714374814,97219,7684,67455,60.53966013596942,170956143669.0
23,2020-06-20,21163607082.0,109843,46.62266553480475,89671,6367,65992,60.71984791250111,172461712438.0
24,2020-06-21,19433554646.0,106741,48.65132178669098,87527,6414,62855,60.44013364240708,171087635886.0
25,2020-06-22,25188807749.0,139853,47.98672801699143,116572,8493,85759,60.97739257997251,178312674453.0
26,2020-06-23,22876670719.0,145200,48.30548227301912,121747,8214,91742,60.79547608340285,176969884629.0
27,2020-06-24,24246841448.0,134069,48.81982375646348,110230,8038,78480,60.6664091903459,171698816709.0
28,2020-06-25,23727783387.0,131767,51.216601755327005,107188,8105,74639,60.69433545639414,170512364590.0
29,2020-06-26,22733355919.0,120259,45.75038328533548,97826,7751,69852,60.58786123265194,168958019969.0
30,2020-06-27,21639561866.0,118963,50.997547926883634,100244,6487,73424,61.55812635446319,166276179218.0
31,2020-06-28,18264759833.0,118858,49.24715143981769,100089,7006,74163,61.47539416542904,168259828324.0
32,2020-06-29,20270325133.0,122408,45.46139933223648,99574,7560,72316,61.2212971365227,169441314896.0
33,2020-06-30,19238971746.0,140917,43.85197310072912,117104,8442,88247,61.37481387074386,168925607621.0
34,2020-07-01,19588610966.0,113275,42.34326171144904,88464,9853,63237,60.98582297146966,169999946831.0
