,DATE,VOLUME,SOCIAL_VOLUME,SOCIAL_DOMINANCE,TWITTER_VOLUME,BEARISH_SENTIMENT,BULLISH_SENTIMENT,MARKET_DOMINANCE,MARKET_CAP
0,2020-05-28,13770414.0,705,0.2523092559918974,525,22,387,0.0423585078527135,120744301.0
1,2020-05-29,18242381.0,525,0.2020303083944555,367,74,185,0.0429074140411313,122537017.0
2,2020-05-30,20738201.0,423,0.1837923797854452,292,29,207,0.04288259874722,125441149.0
3,2020-05-31,8314276.0,320,0.1442357533388323,236,22,171,0.0433320999266045,124077052.0
4,2020-06-01,12590977.0,249,0.0923371306514773,182,20,102,0.0408413860458548,124511412.0
5,2020-06-02,20691199.0,227,0.0742538631635416,117,11,64,0.0421429976263856,121908409.0
6,2020-06-03,17925079.0,196,0.0748743181088886,143,27,90,0.0448851825449637,132524908.0
7,2020-06-04,7122290.0,250,0.0966108899795184,154,13,125,0.0445000644203117,132300545.0
8,2020-06-05,7165350.0,289,0.1146043176879273,227,15,183,0.0450880659240934,132348009.0
9,2020-06-06,5857591.0,230,0.1037138579751447,171,8,105,0.0450747282163882,132814706.0
10,2020-06-07,9707992.0,156,0.075978589623078,105,5,88,0.0460502953524317,135831474.0
11,2020-06-08,21636624.0,276,0.1120429985304505,230,9,207,0.0454011959967543,135645959.0
12,2020-06-09,14341069.0,271,0.1080598276625184,201,20,141,0.0406730451425071,121181527.0
13,2020-06-10,34262966.0,418,0.1444093209652623,344,28,266,0.0404031087394604,121466433.0
14,2020-06-11,38892507.0,462,0.1664199185190788,298,29,189,0.0447395747597173,126437951.0
15,2020-06-12,18364898.0,313,0.1181154361403045,210,14,121,0.0431161558830091,124150622.0
16,2020-06-13,11659188.0,235,0.0963889025610736,177,7,97,0.0428976981994627,124047911.0
17,2020-06-14,53945100.0,118,0.0523360506683934,72,11,45,0.0420635161106062,119620670.0
18,2020-06-15,60677513.0,178,0.0719473894819383,130,10,82,0.0410015009051288,116196784.0
19,2020-06-16,25077880.0,332,0.1262079085220749,267,32,178,0.0407967872864465,117566594.0
20,2020-06-17,36929178.0,468,0.1695756622690528,322,14,184,0.0415161309125192,119035401.0
21,2020-06-18,26270134.0,1121,0.4081424602871196,799,56,411,0.0423780711926123,120227137.0
22,2020-06-19,50785783.0,874,0.3364825637353414,553,67,191,0.0441912967211604,124790487.0
23,2020-06-20,18893306.0,581,0.24660441426146,397,71,105,0.0448059360474624,127261657.0
24,2020-06-21,14339048.0,475,0.2164995442114859,315,40,148,0.0444988700207433,125962767.0
25,2020-06-22,56099160.0,726,0.2491070233769442,548,59,411,0.0439080490410593,128397777.0
26,2020-06-23,27089691.0,765,0.2545020243723115,496,81,295,0.0440344098358018,128180005.0
27,2020-06-24,57010425.0,916,0.3335518170562959,575,84,318,0.0457006707893749,129342600.0
28,2020-06-25,61884284.0,1097,0.4263936503494329,816,99,603,0.0460478821345914,129365174.0
29,2020-06-26,28771018.0,430,0.1635858007524946,380,11,341,0.0465365073480767,129773786.0
30,2020-06-27,52865065.0,717,0.3073665077677561,639,13,608,0.0482702020934757,130383838.0
31,2020-06-28,25717596.0,420,0.1740211311373524,355,32,302,0.0472609092754954,129354396.0
32,2020-06-29,36321589.0,512,0.1901529022458097,449,29,355,0.0467547677856516,129402507.0
33,2020-06-30,30191065.0,303,0.0942905955244642,191,20,128,0.047223328644951,129975620.0
34,2020-07-01,68278730.0,1059,0.3958641726102364,946,38,822,0.0528572701878271,147341344.0
35,2020-07-02,401793929.0,1663,0.7057495459097931,1340,357,884,0.0547372990007981,149748872.0
36,2020-07-03,70428019.0,1730,0.7236162407927152,1375,313,914,0.0604444780635187,165434727.0
37,2020-07-04,70879610.0,1243,0.5572516688409793,1000,171,757,0.0616191500540151,170924317.0
38,2020-07-05,34848152.0,689,0.3613933312702267,483,168,214,0.0640706143957713,176543474.0
39,2020-07-06,113079736.0,568,0.2077466076588274,358,156,102,0.0640648917346319,182121673.0
40,2020-07-07,91929763.0,997,0.3674817364894252,628,313,247,0.0662873383009837,187412561.0
41,2020-07-08,76193978.0,708,0.2004161182115409,509,192,257,0.064792172995195,189053486.0
42,2020-07-09,97308433.0,700,0.264976871304519,520,138,336,0.0665958768697525,190798247.0
43,2020-07-10,23565696.0,745,0.2913194620952321,546,168,302,0.068246078231222,193681602.0
44,2020-07-11,35320935.0,753,0.3593808912455197,546,143,374,0.071286826023098,201954634.0
45,2020-07-12,71155175.0,1116,0.5367862090195474,882,117,735,0.0670426987876584,195265829.0
46,2020-07-13,34941507.0,594,0.2227848101265822,461,98,306,0.0701787133598563,199335182.0
