,DATE,VOLUME,SOCIAL_VOLUME,SOCIAL_DOMINANCE,TWITTER_VOLUME,BEARISH_SENTIMENT,BULLISH_SENTIMENT,MARKET_DOMINANCE,MARKET_CAP
0,2020-05-28,151037802.0,928,0.3321177156886253,737,75,392,0.1104068748409481,314718379.0
1,2020-05-29,129143085.0,1264,0.4864120186868414,1010,66,492,0.1104428641048748,315407941.0
2,2020-05-30,122677173.0,1328,0.5770124831089155,876,146,507,0.1120219441696155,327689128.0
3,2020-05-31,113578273.0,1382,0.6229181597320821,1003,100,651,0.1117853471177736,320085949.0
4,2020-06-01,123411709.0,1047,0.3882609469562121,651,124,359,0.1124464129281996,342810639.0
5,2020-06-02,126439934.0,912,0.2983238907715859,543,71,346,0.1101065669973586,318508819.0
6,2020-06-03,114934413.0,861,0.3289121831211894,529,50,317,0.1094170222774837,323057187.0
7,2020-06-04,115493180.0,1090,0.4212234803107005,709,53,500,0.110624723630726,328891911.0
8,2020-06-05,108782033.0,949,0.3763304411274844,666,81,392,0.1095055855317473,321434196.0
9,2020-06-06,94570467.0,1192,0.5375083422016197,937,73,387,0.1097613109738232,323416620.0
10,2020-06-07,108364105.0,729,0.3550537938155376,425,42,176,0.110000242210093,324460352.0
11,2020-06-08,104719917.0,979,0.3974278824685183,633,46,376,0.1089477700367468,325505186.0
12,2020-06-09,93276674.0,1054,0.4202769681044073,782,53,611,0.107525121980002,320361026.0
13,2020-06-10,100330446.0,1701,0.5876561123490698,1386,94,997,0.1071567013632043,322152000.0
14,2020-06-11,104416675.0,1768,0.6368623721682498,1463,82,1062,0.1079859278200324,305177676.0
15,2020-06-12,116676988.0,2474,0.9336025208022792,2254,105,1920,0.10829498755065,311829517.0
16,2020-06-13,110151705.0,1985,0.8141786024839625,1678,69,1415,0.1096085209718319,316956588.0
17,2020-06-14,105692448.0,1528,0.6777075035703831,1280,56,925,0.1094651327263136,311298097.0
18,2020-06-15,139324006.0,1466,0.5925554661827059,1170,64,790,0.1088265587626056,308410567.0
19,2020-06-16,136114431.0,1384,0.5261197150438306,1115,61,759,0.1084330243799471,312478070.0
20,2020-06-17,129852228.0,1683,0.6098201700829399,1461,61,645,0.1079015848831004,309376335.0
21,2020-06-18,111115919.0,1723,0.6273233354814515,1528,39,683,0.1089349498413089,309049864.0
22,2020-06-19,123181424.0,1490,0.5736373226151702,1294,29,618,0.1080757509091076,305191895.0
23,2020-06-20,107246545.0,1027,0.4359083191850594,820,35,557,0.108716283681553,308785300.0
24,2020-06-21,106887046.0,1801,0.8208751139471285,1488,61,1146,0.108499081334438,307127900.0
25,2020-06-22,124035034.0,1331,0.4566962095243977,1049,61,463,0.1063507680262477,310995421.0
26,2020-06-23,108103013.0,1125,0.3742676829004581,858,67,545,0.1063376124316995,309538739.0
27,2020-06-24,125788206.0,980,0.3568567475056441,694,63,373,0.1070959561493111,303104291.0
28,2020-06-25,104580932.0,1239,0.4815877235943002,957,57,357,0.1070431326690319,300722918.0
29,2020-06-26,102950235.0,947,0.3602691937502615,723,84,348,0.1060803607381447,295820439.0
30,2020-06-27,100974520.0,999,0.4282554271408484,741,55,428,0.106706221188849,288226816.0
31,2020-06-28,123176037.0,1341,0.5556246115599751,1072,72,468,0.105945013234992,289974387.0
32,2020-06-29,119633256.0,650,0.2414050516792507,401,65,210,0.105054544390954,290757971.0
33,2020-06-30,123382110.0,979,0.3046550924701335,772,73,621,0.1056340083117099,290742862.0
34,2020-07-01,96401581.0,692,0.2586761165687286,478,39,313,0.1037491618412278,289204132.0
35,2020-07-02,59346229.0,606,0.2571763228029672,391,39,216,0.1071302964187546,293084265.0
36,2020-07-03,59795591.0,661,0.2764799625225346,433,31,328,0.1061754572370735,290599048.0
