,DATE,VOLUME,SOCIAL_VOLUME,SOCIAL_DOMINANCE,TWITTER_VOLUME,BEARISH_SENTIMENT,BULLISH_SENTIMENT,MARKET_DOMINANCE,MARKET_CAP
0,2020-05-28,40207444.0,1381,0.4942398333685254,1173,81,892,0.0657903418221145,187537504.0
1,2020-05-29,21088122.0,1027,0.3952097651830586,901,46,683,0.0652523534518385,186350749.0
2,2020-05-30,16197068.0,772,0.335431955542231,673,26,616,0.0632787552823647,185104448.0
3,2020-05-31,19789483.0,676,0.3046980289282833,609,25,563,0.0659264919925399,188773791.0
4,2020-06-01,19947482.0,650,0.2410407025038566,581,44,406,0.0623094632494804,189960234.0
5,2020-06-02,18314203.0,590,0.1929946223193374,507,42,406,0.0630922505946332,182508989.0
6,2020-06-03,9055030.0,572,0.2185107650932873,496,36,318,0.0618185445672899,182521190.0
7,2020-06-04,9901681.0,509,0.1966997719982996,431,48,341,0.0616425514690409,183265873.0
8,2020-06-05,12061336.0,437,0.1732944180955855,395,47,324,0.0633150621666897,185850119.0
9,2020-06-06,10569999.0,376,0.1695496112984975,334,20,299,0.0629393271238365,185453547.0
10,2020-06-07,8372954.0,404,0.196765065434125,339,57,262,0.0618235877975052,182356899.0
11,2020-06-08,12081758.0,386,0.1566978167853402,329,34,284,0.0627756367576606,187555884.0
12,2020-06-09,14075572.0,1196,0.4768987228205608,1140,104,720,0.0624104781897359,185946172.0
13,2020-06-10,18820017.0,1133,0.391425264721632,1003,53,837,0.0641193094122376,192765954.0
14,2020-06-11,15449919.0,495,0.1783070555561559,417,35,295,0.0606593121018489,171428521.0
15,2020-06-12,17356490.0,814,0.3071756070869261,703,39,453,0.0615236334990489,177153951.0
16,2020-06-13,9901684.0,964,0.3953995832718084,879,46,479,0.0607893163734388,175785369.0
17,2020-06-14,7120970.0,701,0.3109116230385069,637,162,376,0.0586143796512157,166688190.0
18,2020-06-15,13507739.0,921,0.3722671107464339,849,92,471,0.0580763579949623,164586317.0
19,2020-06-16,11130149.0,1802,0.6850200336047564,1696,141,1333,0.0577373720740182,166385312.0
20,2020-06-17,8457405.0,1007,0.3648775468054192,919,102,680,0.0559488723221752,160417079.0
21,2020-06-18,13178831.0,843,0.3069260428385744,757,60,555,0.0577668923526584,163885422.0
22,2020-06-19,8536148.0,542,0.2086653884949142,460,55,347,0.0566473832979559,159964859.0
23,2020-06-20,6508731.0,575,0.2440577249575551,496,58,396,0.0553973559791208,157344315.0
24,2020-06-21,5902632.0,532,0.2424794895168641,468,42,379,0.0554721654828403,157024829.0
25,2020-06-22,7110016.0,1226,0.4206683342426082,1146,30,1047,0.0555493437068549,162439744.0
26,2020-06-23,9995787.0,1628,0.5416069224550629,1516,48,1387,0.0574067251641275,167105551.0
27,2020-06-24,8043662.0,532,0.1937222343602068,459,21,420,0.0571508447381298,161749023.0
28,2020-06-25,5301979.0,1271,0.4940258246072281,1171,29,1115,0.0555907709551605,156174604.0
29,2020-06-26,7823334.0,1101,0.418855736345341,1017,28,964,0.0529785667479071,147738401.0
30,2020-06-27,7566180.0,568,0.2434925751911931,496,30,363,0.0521470885515472,140855792.0
31,2020-06-28,5092322.0,541,0.2241557903459705,467,42,374,0.0526817647173691,144191425.0
32,2020-06-29,11321330.0,543,0.201666066248974,473,37,423,0.0572306855989039,158396556.0
33,2020-06-30,10809917.0,418,0.1300774552119671,329,33,274,0.0569172509751169,156656788.0
34,2020-07-01,6884276.0,1261,0.4713736748456167,1108,62,926,0.0570721333892506,159090411.0
35,2020-07-02,7134458.0,1261,0.5351474307830723,1115,32,1013,0.0565251525453152,154640035.0
36,2020-07-03,7207452.0,1283,0.536647188980956,1148,38,915,0.0577864807783375,158159868.0
37,2020-07-04,12326722.0,1184,0.5308012678260011,1057,34,809,0.0603208000833425,167322846.0
38,2020-07-05,10295936.0,604,0.3168092483123613,469,26,322,0.0582271384047455,160442059.0
