,DATE,VOLUME,SOCIAL_VOLUME,SOCIAL_DOMINANCE,TWITTER_VOLUME,BEARISH_SENTIMENT,BULLISH_SENTIMENT,MARKET_DOMINANCE,MARKET_CAP
0,2020-05-28,12694426129.0,20516,7.342378292098963,15980,614,11194,8.552078992072598,24377978648.0
1,2020-05-29,12962844699.0,20803,8.00540286767592,16002,517,11256,8.589947651599664,24531577699.0
2,2020-05-30,17231481674.0,18908,8.215475926674227,14670,600,10286,9.24039298701237,27030206829.0
3,2020-05-31,13774599093.0,17194,7.749967321587134,13338,267,9788,8.99622211257589,25759765180.0
4,2020-06-01,15363417991.0,23582,8.744956686839918,18446,473,13992,9.0913654186016,27716462512.0
5,2020-06-02,15197545306.0,23013,7.527771599042224,18414,693,13357,9.134142802240602,26422629602.0
6,2020-06-03,13233547656.0,19657,7.509206485032776,15430,503,11188,9.20929528930328,27190732927.0
7,2020-06-04,13699422065.0,22047,8.519921165513775,16683,584,12416,9.109248423618771,27082174974.0
8,2020-06-05,10326811576.0,18821,7.463556620084705,14922,573,10742,9.122235472319774,26776701942.0
9,2020-06-06,8848598020.0,17775,8.015277502209555,14036,416,9717,9.155350839260596,26976651400.0
10,2020-06-07,12876439903.0,15047,7.328524602938813,11697,342,8286,9.229816280837769,27224571321.0
11,2020-06-08,9080477442.0,20746,8.421898722872198,16508,478,11365,9.174725546099555,27411490335.0
12,2020-06-09,9134637124.0,21004,8.375234760972457,16192,451,11096,9.111834999160369,27147858615.0
13,2020-06-10,12161281482.0,23582,8.147034944982813,18102,479,13621,9.16723165550705,27560031008.0
14,2020-06-11,12691891084.0,19582,7.053755074546758,14962,586,9997,9.109692435186018,25744787516.0
15,2020-06-12,10594163761.0,18262,6.891450782090228,14586,522,10118,9.199006371203849,26488037706.0
16,2020-06-13,13297446178.0,19159,7.858361634755788,15434,539,10767,9.183767238195172,26556836120.0
17,2020-06-14,8545451526.0,18579,8.240266825153238,14525,571,10871,9.09842341379661,25874192301.0
18,2020-06-15,11836102383.0,20641,8.343067788183651,16046,612,11335,9.082199534874508,25738627960.0
19,2020-06-16,9486822327.0,21989,8.358993073770804,16050,471,12490,9.105749205752534,26240593712.0
20,2020-06-17,9341645565.0,25982,9.414347985201989,19872,559,15813,9.088833983318578,26059581518.0
21,2020-06-18,8088718254.0,21903,7.974615796314703,17052,534,12805,9.10131870088532,25820559066.0
22,2020-06-19,8274632068.0,21317,8.206863628313814,16206,721,12153,9.024026706846335,25482680324.0
23,2020-06-20,7616875352.0,16619,7.053904923599321,12914,519,9569,8.994478614229006,25546888499.0
24,2020-06-21,7095522120.0,16397,7.473564266180492,12732,443,9180,8.977663343079366,25413034429.0
25,2020-06-22,10773805690.0,21034,7.217241225496755,16562,646,12229,9.281957683768798,27142693853.0
26,2020-06-23,11981260934.0,22991,7.648700708946161,18001,805,13215,9.31259563081632,27108085676.0
27,2020-06-24,10700676384.0,21515,7.834462165901973,17221,535,12749,9.268024654867324,26230477256.0
28,2020-06-25,9247682827.0,18328,7.123922355154427,14464,563,10452,9.258852482117458,26011469081.0
29,2020-06-26,8735232375.0,17615,6.701311349430683,13661,533,9335,9.210766487213588,25685555430.0
30,2020-06-27,8443043514.0,16845,7.221183854041634,13379,479,9805,9.147913919202889,24709656781.0
31,2020-06-28,20848405424.0,18482,7.65775844209654,14421,531,10768,9.203174574707186,25189339491.0
32,2020-06-29,7842733831.0,21475,7.975651515095243,17245,717,11776,9.214145649362544,25501860096.0
33,2020-06-30,7444264773.0,19752,6.146626543891806,15126,614,10638,9.19046667988132,25295476602.0
34,2020-07-01,7630828469.0,22394,8.371088084451024,17878,2748,12998,9.25687437334079,25803835623.0
35,2020-07-02,10703011075.0,16422,6.969223717937837,12609,1263,9908,9.287899373579108,25409592359.0
36,2020-07-03,6390115231.0,19037,7.9627065757057345,14756,1653,10840,9.221256596863483,25238303259.0
37,2020-07-04,6509574108.0,15121,6.778923961821761,11743,921,9211,9.25517695647416,25672778651.0
