,DATE,VOLUME,SOCIAL_VOLUME,SOCIAL_DOMINANCE,TWITTER_VOLUME,BEARISH_SENTIMENT,BULLISH_SENTIMENT,MARKET_DOMINANCE,MARKET_CAP
0,2021-02-07,3249655.0,858.4849785407725,0.05740301303534038,801.5754310344828,167.9719827586207,478.7521551724138,0.04933701177913871,1054992583.7537473
1,2021-02-08,6898415.0,858.4849785407725,0.05740301303534038,801.5754310344828,167.9719827586207,478.7521551724138,0.04933701177913871,1054992583.7537473
2,2021-02-09,5588690.0,858.4849785407725,0.05740301303534038,801.5754310344828,167.9719827586207,478.7521551724138,0.04933701177913871,1054992583.7537473
3,2021-02-10,2459327.0,858.4849785407725,0.05740301303534038,801.5754310344828,167.9719827586207,478.7521551724138,0.04933701177913871,1054992583.7537473
4,2021-02-11,1503267.0,858.4849785407725,0.05740301303534038,801.5754310344828,167.9719827586207,478.7521551724138,0.04933701177913871,1054992583.7537473
5,2021-02-12,1642941.0,858.4849785407725,0.05740301303534038,801.5754310344828,167.9719827586207,478.7521551724138,0.04933701177913871,1054992583.7537473
6,2021-02-13,788613.0,858.4849785407725,0.05740301303534038,801.5754310344828,167.9719827586207,478.7521551724138,0.04933701177913871,1054992583.7537473
7,2021-02-14,1016057.0,858.4849785407725,0.05740301303534038,801.5754310344828,167.9719827586207,478.7521551724138,0.04933701177913871,1054992583.7537473
8,2021-02-15,536736.0,858.4849785407725,0.05740301303534038,801.5754310344828,167.9719827586207,478.7521551724138,0.0068414587277391,103193501.0
9,2021-02-16,1161559.0,3.0,0.0003512942264793,801.5754310344828,167.9719827586207,478.7521551724138,0.0066645462205187,102292270.0
10,2021-02-17,1349428.0,70.0,0.007622947249205,62.0,9.0,40.0,0.0074541296862138,120851994.0
11,2021-02-18,1348944.0,233.0,0.0265212739317504,211.0,50.0,124.0,0.007480658773081,122121060.0
12,2021-02-19,1161054.0,426.0,0.0466463364558639,396.0,108.0,225.0,0.0073954651500404,129804983.0
13,2021-02-20,573318.0,232.0,0.0144974629439848,213.0,25.0,164.0,0.0078328896580038,137094043.0
14,2021-02-21,575290.0,149.0,0.0177691489412449,139.0,18.0,108.0,0.0074038143461895,133489212.0
15,2021-02-22,519247.0,56.0,0.0069729883862388,51.0,5.0,36.0,0.0074286365102877,126518311.0
16,2021-02-23,630576.0,69.0,0.0086546421493615,65.0,16.0,32.0,0.0079650961356742,121864787.0
17,2021-02-24,3118711.0,604.0,0.0775433645860481,589.0,37.0,485.0,0.0072930166093854,114357309.0
18,2021-02-25,3815934.0,450.0,0.0613650868111428,437.0,65.0,283.0,0.0111455687944177,165533889.0
19,2021-02-26,1860839.0,137.0,0.020695051616782,133.0,23.0,87.0,0.0117864671368001,172451985.0
20,2021-02-27,1674276.0,151.0,0.0253908253363443,134.0,13.0,76.0,0.0141119523509537,207817130.0
21,2021-02-28,1498201.0,500.0,0.0895977062987187,455.0,96.0,240.0,0.0165435622567959,237296191.0
22,2021-03-01,1251010.0,432.0,0.0591490748372715,385.0,125.0,160.0,0.0146378542438016,229579547.0
23,2021-03-02,983441.0,528.0,0.0733037064186558,508.0,209.0,220.0,0.0135739211433606,208532503.0
24,2021-03-03,1060702.0,374.0,0.0550906565362707,346.0,64.0,241.0,0.0127212072279297,203032007.0
25,2021-03-04,1014047.0,264.0,0.0402419394175893,244.0,43.0,128.0,0.0148973861048968,230785230.0
26,2021-03-05,787880.0,165.0,0.0248124405065346,147.0,37.0,79.0,0.0140376193663611,218974163.0
27,2021-03-06,979190.0,135.0,0.0201829321165766,120.0,47.0,58.0,0.0154910701099825,244095822.0
28,2021-03-07,659817.0,90.0,0.0156199831651292,82.0,25.0,34.0,0.0148766923404613,243646883.0
29,2021-03-08,665083.0,307.0,0.0432713111207269,282.0,66.0,124.0,0.0140711894520011,237988006.0
30,2021-03-09,773139.0,292.0,0.0367173206415471,261.0,61.0,100.0,0.0122998362195792,216876853.0
31,2021-03-10,1020513.0,337.0,0.0460664450373999,321.0,79.0,165.0,0.0125876265650305,221990797.0
32,2021-03-11,753725.0,289.0,0.0414790659890317,266.0,38.0,120.0,0.0131918762936177,238684148.0
33,2021-03-12,901564.0,158.0,0.0205328935655369,137.0,38.0,68.0,0.0130748151229702,234255664.0
34,2021-03-13,671537.0,98.0,0.0113157438946943,81.0,16.0,41.0,0.0122479849083377,232945064.0
35,2021-03-14,857913.0,83.0,0.0112901514512605,81.0,20.0,34.0,0.0123073729781013,227269831.0
36,2021-03-15,820513.0,273.0,0.0356563977111988,256.0,62.0,121.0,0.0121666249120036,216169424.0
37,2021-03-16,927360.0,188.0,0.024163561606157,170.0,29.0,88.0,0.0121794640205921,221081682.0
38,2021-03-17,996213.0,211.0,0.0245574137202619,178.0,21.0,68.0,0.0104972466786415,196588748.0
39,2021-03-18,756443.0,164.0,0.0199728661306469,148.0,13.0,94.0,0.0107872308673153,198807711.0
40,2021-03-19,564113.0,165.0,0.0211044401183895,158.0,22.0,86.0,0.0103077037713585,193023316.0
41,2021-03-20,739199.0,255.0,0.0394819350793122,134.0,22.0,62.0,0.0100951788677832,189885502.0
42,2021-03-21,401827.0,112.0,0.0181504379603445,81.0,13.0,43.0,0.0106049095055655,198232700.0
43,2021-03-22,422698.0,428.0,0.0593690786973203,414.0,77.0,266.0,0.0105710495558559,186600195.0
44,2021-03-23,406703.0,318.0,0.0416651926622092,292.0,69.0,167.0,0.0100556983150029,178652928.0
45,2021-03-24,858925.0,248.0,0.0242265100540016,224.0,63.0,103.0,0.0110225756277033,187573311.0
46,2021-03-25,426716.0,171.0,0.0205487106585321,164.0,41.0,75.0,0.0104775076899412,176324289.0
47,2021-03-26,799167.0,580.0,0.0715991042705162,566.0,74.0,419.0,0.010180858677718,183667674.0
48,2021-03-27,868303.0,325.0,0.0466980189981909,297.0,47.0,184.0,0.0115286838854927,210174025.0
49,2021-03-28,846882.0,236.0,0.0392527343853953,214.0,30.0,126.0,0.0113858009205411,207773153.0
50,2021-03-29,828566.0,171.0,0.0225098332429429,159.0,19.0,65.0,0.0110543721241045,209791464.0
51,2021-03-30,738484.0,170.0,0.0211372065813801,157.0,23.0,62.0,0.0103322512589358,200319897.0
52,2021-03-31,457617.0,431.0,0.0509986747444149,417.0,57.0,145.0,0.0100394818135845,198254737.0
53,2021-04-01,593625.0,487.0,0.0563666540893023,474.0,248.0,134.0,0.0098647667898518,197417169.0
54,2021-04-02,631599.0,475.0,0.0601615368929542,461.0,123.0,228.0,0.0090950115078256,185681425.0
55,2021-04-03,629057.0,176.0,0.0276958616717599,156.0,42.0,73.0,0.0098105548709688,193880832.0
56,2021-04-04,356785.0,168.0,0.0240857797842889,158.0,27.0,97.0,0.0092718597003538,189559311.0
57,2021-04-05,477087.0,227.0,0.027576488310363,204.0,34.0,129.0,0.0087747143728964,183714449.0
58,2021-04-06,1883550.0,208.0,0.0256256098402341,194.0,39.0,94.0,0.0085900737640084,179401913.0
59,2021-04-07,1218539.0,181.0,0.0236186360172455,164.0,44.0,42.0,0.0099409556490628,196958752.0
60,2021-04-08,1269429.0,56.0,0.0073730097810874,49.0,15.0,15.0,0.0091141322292666,189754005.0
61,2021-04-09,1163641.0,107.0,0.0139128173455124,100.0,18.0,55.0,0.0090956145713081,190322041.0
62,2021-04-10,1004539.0,98.0,0.0131001856750806,84.0,34.0,31.0,0.0095663174991165,206209668.0
63,2021-04-11,875179.0,46.0,0.0063867777040367,38.0,14.0,11.0,0.009355103647889,204142522.0
64,2021-04-12,711321.0,109.0,0.0135577366789017,95.0,28.0,24.0,0.0088725837214829,193612507.0
65,2021-04-13,907840.0,67.0,0.0064913045584459,58.0,14.0,17.0,0.008296790370236,191231534.0
66,2021-04-14,1066684.0,53.0,0.00435478159127,46.0,11.0,27.0,0.0083157412773872,193254041.0
67,2021-04-15,675365.0,78.0,0.0075949662900342,72.0,10.0,40.0,0.0086180396346882,204070365.0
68,2021-04-16,1082222.0,136.0,0.0096661757765635,124.0,14.0,95.0,0.0081864005373361,191297151.0
69,2021-04-17,829888.0,202.0,0.0221465001951523,198.0,13.0,168.0,0.0080661341228252,184792789.0
70,2021-04-18,1181549.0,105.0,0.0099101573449839,88.0,7.0,76.0,0.0085352033574455,184485401.0
71,2021-04-19,671867.0,131.0,0.0113044371210101,119.0,13.0,80.0,0.0085507090898538,181753369.0
72,2021-04-20,1522788.0,138.0,0.0101983656010606,126.0,11.0,96.0,0.0081414204960538,178277720.0
73,2021-04-21,886357.0,135.0,0.0114858133189491,115.0,29.0,66.0,0.0091191439925834,192115922.0
74,2021-04-22,625267.0,82.0,0.0066362478331032,77.0,14.0,49.0,0.0089175994246654,180884713.0
75,2021-04-23,890019.0,142.0,0.0117703131151957,118.0,19.0,78.0,0.0086112534889162,172690465.0
76,2021-04-24,642512.0,103.0,0.0104462050863891,89.0,23.0,45.0,0.0086633538425122,167537278.0
77,2021-04-25,696609.0,49.0,0.0057539020850262,38.0,5.0,30.0,0.0075888222374745,146911042.0
78,2021-04-26,806534.0,83.0,0.0077726345204237,67.0,15.0,44.0,0.0080090932610965,170764891.0
79,2021-04-27,846976.0,143.0,0.0126922701412126,130.0,17.0,99.0,0.007796339120464,172008464.0
80,2021-04-28,1335995.0,156.0,0.014132367742327,138.0,25.0,81.0,0.0072788246265882,161469959.0
81,2021-04-29,731674.0,284.0,0.0271255339145583,267.0,39.0,162.0,0.0066423723736729,147099073.0
82,2021-04-30,2075644.0,592.0,0.0529707461895959,565.0,95.0,377.0,0.0063231176297443,147805922.0
83,2021-05-01,1391553.0,306.0,0.0276229129354671,289.0,45.0,223.0,0.0069512473504708,166167761.0
84,2021-05-02,1133138.0,180.0,0.0180715815344579,163.0,36.0,96.0,0.0065524273335296,153953748.0
85,2021-05-03,716023.0,125.0,0.0103750798881151,113.0,17.0,81.0,0.0061943681873425,151898565.0
86,2021-05-04,1200384.0,118.0,0.0081155098397118,108.0,11.0,58.0,0.0063857341685601,148780003.0
87,2021-05-05,718592.0,131.0,0.008133791557621,100.0,12.0,70.0,0.0059407584389327,151688144.0
88,2021-05-06,799143.0,78.0,0.005960942073399,64.0,6.0,45.0,0.0058329626428056,145530432.0
89,2021-05-07,644155.0,567.0,0.0391585673351248,558.0,34.0,472.0,0.0056276508965712,141925248.0
90,2021-05-08,789811.0,220.0,0.0156344161824735,193.0,37.0,141.0,0.0053888780656522,141209905.0
91,2021-05-09,608482.0,72.0,0.0045996396948905,66.0,8.0,51.0,0.0052400749706611,137191027.0
92,2021-05-10,589928.0,105.0,0.0069376215322629,102.0,20.0,75.0,0.0053905916741091,136677749.0
93,2021-05-11,780403.0,202.0,0.0138842111774773,184.0,31.0,114.0,0.0044539497975464,117657037.0
94,2021-05-12,554128.0,386.0,0.0243097541313986,360.0,95.0,196.0,0.004980203474806,116984341.0
95,2021-05-13,510450.0,166.0,0.0074230451567089,154.0,34.0,89.0,0.004182785023346,99552085.0
96,2021-05-14,945898.0,290.0,0.0183073642319555,257.0,27.0,196.0,0.0043018202946742,106597171.0
97,2021-05-15,454262.0,74.0,0.0056399988720002,65.0,2.0,58.0,0.0045317750437534,105109112.0
98,2021-05-16,478544.0,53.0,0.003331152371309,47.0,1.0,43.0,0.0045268080438293,104174619.0
99,2021-05-17,1270686.0,108.0,0.0064761479871772,88.0,7.0,71.0,0.0053651127837566,115793923.0
100,2021-05-18,703103.0,90.0,0.0056684665097551,77.0,9.0,62.0,0.0054571148145103,118981737.0
101,2021-05-19,618844.0,71.0,0.0034213223555467,67.0,1.0,56.0,0.0076909887947726,129529836.0
102,2021-05-20,466852.0,182.0,0.011368193294265,169.0,38.0,100.0,0.0048615814736254,91690763.0
103,2021-05-21,477430.0,213.0,0.0149410459994823,195.0,42.0,111.0,0.0056436493410206,95761369.0
104,2021-05-22,568528.0,152.0,0.0129618291187491,139.0,20.0,87.0,0.0057610103319548,94404179.0
105,2021-05-23,479055.0,112.0,0.009913662620358,112.0,19.0,79.0,0.0059361527849747,88666700.0
106,2021-05-24,425034.0,196.0,0.0149284652319091,186.0,55.0,88.0,0.0046147963313443,80839450.0
107,2021-05-25,459658.0,104.0,0.0082707920953495,102.0,18.0,64.0,0.005506174310543,96277381.0
108,2021-05-26,558013.0,602.0,0.0480693987971471,598.0,38.0,267.0,0.0052084648810719,96209838.0
109,2021-05-27,441294.0,361.0,0.0321110669324502,348.0,44.0,124.0,0.0055891705593992,100077130.0
110,2021-05-28,354460.0,107.0,0.0092666687451718,95.0,16.0,63.0,0.005372406953465,88767496.0
111,2021-05-29,237895.0,43.0,0.0041704248984065,43.0,2.0,36.0,0.005326678093782,83942525.0
112,2021-05-30,268508.0,83.0,0.0079148778724808,78.0,9.0,44.0,0.0045171179903018,74216749.0
113,2021-05-31,491441.0,296.0,0.0266674835085038,273.0,23.0,225.0,0.004529384359633,79130786.0
114,2021-06-01,531402.0,104.0,0.0094398621780122,90.0,17.0,61.0,0.0058663952184875,101504698.0
115,2021-06-02,401060.0,126.0,0.0106697738854743,116.0,13.0,86.0,0.0055438193716344,98955047.0
116,2021-06-03,446770.0,826.0,0.0693485933821628,808.0,155.0,404.0,0.0049795518577768,92911329.0
117,2021-06-04,475665.0,136.0,0.0097590728880756,111.0,15.0,69.0,0.0053646371997274,94263183.0
