,DATE,VOLUME,SOCIAL_VOLUME,SOCIAL_DOMINANCE,TWITTER_VOLUME,BEARISH_SENTIMENT,BULLISH_SENTIMENT,MARKET_DOMINANCE,MARKET_CAP
0,2020-05-28,8671532.0,139,0.0497460802593953,109,2,92,0.0351223235992575,100117323.0
1,2020-05-29,6270559.0,376,0.1446921827739338,333,7,248,0.0348606665701321,99556736.0
2,2020-05-30,9939033.0,268,0.1164452902659558,247,3,202,0.0354605537875622,103730015.0
3,2020-05-31,19731069.0,214,0.0964576600453441,181,4,163,0.0373087516247241,106829808.0
4,2020-06-01,10892638.0,226,0.0838079981013409,198,2,163,0.0373316048433114,113811290.0
5,2020-06-02,11800631.0,204,0.066730343988381,189,4,164,0.0380465559538519,110058500.0
6,2020-06-03,11210753.0,202,0.0771663890714056,185,1,151,0.0384199763115028,113436184.0
7,2020-06-04,11817237.0,268,0.1035668740580438,238,1,222,0.0384472716539877,114305340.0
8,2020-06-05,14032788.0,183,0.0725695160446044,159,6,114,0.039838911315928,116940048.0
9,2020-06-06,10848928.0,122,0.055013437708555,98,2,85,0.0391660184608453,115404428.0
10,2020-06-07,9583998.0,239,0.1164030956404848,220,2,188,0.038570549063548,113768967.0
11,2020-06-08,9858042.0,133,0.0539917347990939,125,5,110,0.0380384944750178,113648285.0
12,2020-06-09,10165862.0,107,0.0426656884128762,95,1,85,0.0382086857175339,113839199.0
13,2020-06-10,10532914.0,183,0.063222262527854,177,5,147,0.0380211137126712,114305290.0
14,2020-06-11,10925082.0,132,0.0475485481483082,122,0,99,0.0366793365833017,103659013.0
15,2020-06-12,9125404.0,135,0.0509443574407064,125,1,120,0.0383727745987321,110492314.0
16,2020-06-13,9348673.0,138,0.0566028449082049,134,2,121,0.0382450686392919,110593833.0
17,2020-06-14,8689346.0,145,0.0643112487026868,135,3,113,0.0382018885906973,108638933.0
18,2020-06-15,10478121.0,103,0.0416324781833688,96,2,87,0.0364289084952246,103238221.0
19,2020-06-16,12972099.0,169,0.0642443871693694,163,6,139,0.0383548044876861,110529383.0
20,2020-06-17,10153445.0,146,0.0529018091694053,113,1,101,0.0372112196188492,106692323.0
21,2020-06-18,9681319.0,158,0.0575258775426984,142,10,120,0.035869036059519,101760920.0
22,2020-06-19,9099398.0,69,0.0265644129264743,61,2,52,0.0358572650101834,101256263.0
23,2020-06-20,9244225.0,75,0.0318336162988115,65,1,57,0.036395050671991,103372340.0
24,2020-06-21,7384359.0,50,0.0227894257064721,37,0,29,0.0357403084322767,101169943.0
25,2020-06-22,8308353.0,118,0.0404884693642967,114,5,105,0.0360351044773322,105375379.0
26,2020-06-23,8989723.0,81,0.0269472731688329,69,3,64,0.0358442407818323,104339197.0
27,2020-06-24,5205132.0,123,0.044789163207341,113,2,103,0.035760071235222,101208593.0
28,2020-06-25,6806533.0,106,0.0412012096053235,96,0,90,0.0355080826564418,99755061.0
29,2020-06-26,9325004.0,95,0.0361410490034581,88,2,70,0.0377250012678109,105201626.0
30,2020-06-27,9676513.0,92,0.0394389382351932,75,1,44,0.0900010642543223,243104103.0
31,2020-06-28,9574238.0,93,0.038533250466128,85,5,68,0.0349521223818272,95664911.0
32,2020-06-29,11246312.0,87,0.0323111376862997,84,1,78,0.0352075267762074,97443372.0
33,2020-06-30,10021920.0,175,0.0544582647418522,163,3,140,0.0345392590280495,95064489.0
34,2020-07-01,10500691.0,206,0.0770047399034076,204,30,126,0.0341560664767789,95211136.0
35,2020-07-02,10661011.0,236,0.1001544755470301,221,25,149,0.0366507712184463,100268222.0
36,2020-07-03,4734597.0,198,0.0828185061716518,192,37,121,0.036838107337193,100824797.0
37,2020-07-04,4775191.0,148,0.0663501584782501,123,30,74,0.0367770477337339,102015230.0
38,2020-07-05,4159742.0,113,0.0592706044028093,97,5,80,0.0354255928977283,97613505.0
39,2020-07-06,12017298.0,190,0.069492703266157,175,22,115,0.0366410094172411,104161917.0
40,2020-07-07,5378882.0,110,0.0405446248885022,99,22,54,0.0370062569602068,104626880.0
41,2020-07-08,12839836.0,139,0.039347232247746,134,41,52,0.03796953771032,110789207.0
42,2020-07-09,81504803.0,622,0.235450877073444,576,58,376,0.049926868234826,143041272.0
43,2020-07-10,19605952.0,276,0.1079250624674954,254,50,178,0.0482046323044357,136804204.0
44,2020-07-11,9927294.0,114,0.0544082624196404,99,18,62,0.0462978955770533,131161325.0
45,2020-07-12,7339886.0,215,0.1034131137448052,193,51,101,0.0445593782600487,129781827.0
46,2020-07-13,17097104.0,266,0.0997655883731833,259,34,174,0.0440639604974813,125159000.0
47,2020-07-14,7435983.0,235,0.0844309354947652,227,49,144,0.045233934187661,130700428.0
48,2020-07-15,5748637.0,187,0.033265201930449,177,35,109,0.0418063948141285,119839691.0
49,2020-07-16,15462705.0,281,0.0559950580874001,256,55,141,0.0491591990020315,139788191.0
50,2020-07-17,12104107.0,526,0.1818722468483544,490,81,284,0.0452913894083549,129687196.0
51,2020-07-18,6597237.0,243,0.1056007509386733,237,75,93,0.0448834037701538,127396659.0
52,2020-07-19,9283385.0,299,0.1346676995694236,282,47,130,0.0437040923618158,124913893.0
53,2020-07-20,8446831.0,349,0.1422359159952234,306,42,140,0.0429279412504882,123183818.0
54,2020-07-21,16649151.0,327,0.116778624154962,258,30,144,0.0456992588931795,134327851.0
55,2020-07-22,12986122.0,191,0.0563832645024545,147,15,104,0.0462516123617045,140501731.0
56,2020-07-23,8104358.0,387,0.1253011111974512,346,50,263,0.047284088549271,141820703.0
57,2020-07-24,7045060.0,509,0.1925790841710586,469,99,307,0.047613503017418,142206732.0
58,2020-07-25,9086120.0,242,0.1032700768551274,205,20,154,0.0443051340123078,136518751.0
59,2020-07-26,8956493.0,159,0.0711606799201568,125,15,91,0.042779273102141,134682230.0
60,2020-07-27,10727233.0,189,0.0502852156144906,158,22,104,0.0391918719505282,132113503.0
61,2020-07-28,11944978.0,301,0.0772650731066206,283,62,124,0.0402736601211935,136941288.0
62,2020-07-29,9860683.0,213,0.0577975079234142,204,36,112,0.040334607966255,137401043.0
63,2020-07-30,7386351.0,370,0.122875825675734,353,51,236,0.0397835870103098,136961335.0
64,2020-07-31,6625408.0,412,0.1515876227970124,368,64,213,0.0372847715703303,130698743.0
