,DATE,VOLUME,SOCIAL_VOLUME,SOCIAL_DOMINANCE,TWITTER_VOLUME,BEARISH_SENTIMENT,BULLISH_SENTIMENT,MARKET_DOMINANCE,MARKET_CAP
0,2020-05-28,326328554.0,5885,2.106155987960733,5297,67,5072,0.5352969337780301,1525881278.0
1,2020-05-29,337481632.0,5096,1.9610408601488485,4607,121,4376,0.5305491048116926,1515167160.0
2,2020-05-30,366929525.0,5363,2.3302092973743327,4880,147,4553,0.5406754456258922,1581596058.0
3,2020-05-31,394694267.0,5088,2.2933484780874336,4633,42,4402,0.5530918528735943,1583722153.0
4,2020-06-01,519945514.0,5390,1.9987836715319804,4906,45,4567,0.5620847844204165,1713604188.0
5,2020-06-02,468211607.0,6232,2.038546586939171,5790,84,5149,0.5777970391234142,1671412138.0
6,2020-06-03,363867425.0,7374,2.8169552129333923,6911,124,6430,0.5761271056062386,1701033333.0
7,2020-06-04,323308707.0,5089,1.9666112764230783,4669,95,4290,0.5663897548674824,1683900332.0
8,2020-06-05,297594374.0,5289,2.0973779801088144,4864,88,4381,0.5666560368481021,1663318147.0
9,2020-06-06,264987632.0,5374,2.423296838080121,4939,65,4224,0.5629699706134673,1658816239.0
10,2020-06-07,283746736.0,5348,2.604701905796289,4902,94,4398,0.5614003116218338,1655924924.0
11,2020-06-08,282584818.0,6754,2.7418058408502275,6260,81,5422,0.5637621719359837,1684362246.0
12,2020-06-09,309519085.0,5255,2.0954036692492037,4674,66,4134,0.5660088042151239,1686370198.0
13,2020-06-10,303890129.0,5948,2.0548962705774643,5391,60,5077,0.5585743250580404,1679277485.0
14,2020-06-11,372923170.0,4892,1.7621780116782115,4360,54,4092,0.5353434211563256,1512927327.0
15,2020-06-12,334378875.0,5035,1.9000358497330136,4503,59,4161,0.542253260170734,1561388722.0
16,2020-06-13,267115014.0,4395,1.802677560663484,3823,46,3470,0.5420158453437995,1567355270.0
17,2020-06-14,258915830.0,4769,2.1151747935387157,4045,104,3578,0.5292322011887669,1505036106.0
18,2020-06-15,386775816.0,4826,1.9506634923586208,4279,94,3937,0.529827713460533,1501512750.0
19,2020-06-16,298999745.0,7965,3.027849371621468,7167,121,6841,0.5367167639213206,1546689484.0
20,2020-06-17,335186173.0,6169,2.235282607986724,5219,79,4966,0.546830203011655,1567876174.0
21,2020-06-18,308460360.0,6185,2.2518832443138583,5325,81,5003,0.5592227085032616,1586522069.0
22,2020-06-19,287750099.0,7071,2.7222748377260864,6210,81,5399,0.5506155921833161,1554866976.0
23,2020-06-20,309639993.0,5507,2.3374363327674024,4768,51,4490,0.5613406811338494,1594367879.0
24,2020-06-21,257120057.0,5404,2.4630811303555147,4722,40,4427,0.5627255843023424,1592904980.0
25,2020-06-22,377655104.0,9386,3.220548927570246,8501,127,8046,0.5814999603345874,1700446817.0
26,2020-06-23,599811921.0,13943,4.638590491272078,12593,130,11577,0.6284707027199958,1829418814.0
27,2020-06-24,513441441.0,10245,3.730609569587066,9140,154,8500,0.6347031133117614,1796344550.0
28,2020-06-25,450141760.0,7762,3.017016876948312,6897,94,6221,0.6480977959452838,1820741373.0
29,2020-06-26,378869364.0,7184,2.733024168850981,6335,90,5573,0.6412080909174797,1788101564.0
30,2020-06-27,362444791.0,5986,2.5661030899550736,5242,122,4817,0.6237733104857064,1684889533.0
31,2020-06-28,333142200.0,6374,2.640977833022581,5595,100,5164,0.6358736162955841,1740403408.0
32,2020-06-29,323902796.0,7545,2.802155561415302,6773,98,6177,0.6372904732901404,1763819795.0
33,2020-06-30,279592824.0,6310,1.963609431549073,5556,76,5135,0.6365873114603522,1752117711.0
34,2020-07-01,319896891.0,7317,2.7351635042389986,6623,543,5187,0.6419937203364252,1789578184.0
35,2020-07-02,438684736.0,6783,2.878592405235193,6180,547,4975,0.6653731914250233,1820310587.0
36,2020-07-03,349517130.0,8446,3.532753046089754,7567,616,6046,0.663236504048835,1815258457.0
37,2020-07-04,308761208.0,5542,2.484544447881502,5085,476,3950,0.6633097469822282,1839943676.0
38,2020-07-05,316939262.0,4245,2.2265815547781025,3805,323,2998,0.657229157739091,1810963104.0
39,2020-07-06,633878076.0,9277,3.393072674737574,8676,427,7544,0.7179168551726074,2040871610.0
40,2020-07-07,821002515.0,14888,5.487530684909291,13631,627,11271,0.7723630803527617,2183683138.0
41,2020-07-08,1051730250.0,16917,4.788756316079996,15607,1414,12476,0.8388768873880145,2447712317.0
42,2020-07-09,803784516.0,9735,3.685071203070704,8851,857,6839,0.8055889034294703,2308025028.0
43,2020-07-10,649036557.0,7867,3.076255313158646,7145,529,5953,0.8276973430758678,2348995745.0
44,2020-07-11,448570834.0,7644,3.648217174874837,7023,433,5854,0.825524959852038,2338701278.0
45,2020-07-12,1073102922.0,20473,9.847333384639064,17257,570,15392,0.93050277262615,2710144409.0
46,2020-07-13,1594438025.0,42793,16.049882794186594,31502,1191,27199,0.9648487594889348,2740550430.0
47,2020-07-14,1310927644.0,27621,9.923688805535797,19973,1078,17442,1.0776509255994495,3113800286.0
48,2020-07-15,1378617987.0,31655,5.631069342825478,23400,1559,19897,1.1400660269810772,3268044542.0
49,2020-07-16,1258767355.0,31616,6.300141482175238,23011,1606,19275,1.123742589954016,3195453689.0
50,2020-07-17,736409968.0,19878,6.873111260174126,15910,1410,12501,1.1037589033015986,3160499139.0
51,2020-07-18,814842966.0,14770,6.418613544708664,11898,874,9365,1.0745451377302124,3049979480.0
52,2020-07-19,594568444.0,15610,7.030644783540815,13556,1695,8985,1.0812352019532283,3090358157.0
53,2020-07-20,718220477.0,10760,4.385267782546145,9696,970,7577,0.9677600691018868,2777034648.0
54,2020-07-21,738999753.0,11005,3.930118528517911,10113,947,7945,0.9510683410202802,2795558823.0
55,2020-07-22,698589188.0,12007,3.5444704548742005,11072,1574,7301,0.942890810714638,2864284817.0
56,2020-07-23,804058953.0,16212,5.249048100085477,13983,1386,10857,1.003931298384933,3011123760.0
57,2020-07-24,587011423.0,12344,4.6703265520776975,11394,1301,8054,0.9539846586120636,2849255612.0
58,2020-07-25,609703919.0,12695,5.417411676346458,11411,1184,8182,0.9518065774562656,2932830428.0
59,2020-07-26,764161657.0,9513,4.257556906166364,8642,606,6756,0.9086838886639624,2860814680.0
60,2020-07-27,914554413.0,11615,3.090279255885233,10802,894,8501,0.8055853897133834,2715581127.0
61,2020-07-28,495401106.0,11011,2.8264641859701003,10249,818,7926,0.8112801163950828,2758570831.0
62,2020-07-29,402704762.0,11815,3.205997916033517,11028,788,8390,0.7976299308876583,2717150109.0
63,2020-07-30,437099841.0,11037,3.665352670224531,10052,1072,7427,0.8268793234352839,2846663776.0
64,2020-07-31,520209382.0,13156,4.840501858052173,11937,1264,8996,0.8510812222015463,2983396203.0
65,2020-08-01,591631187.0,10611,3.6985398941083383,9850,881,7827,0.8585756675505578,3190815210.0
66,2020-08-02,1432710739.0,14446,5.581808697668129,13503,1041,10894,0.8964374262606175,3170884934.0
67,2020-08-03,1070602099.0,12093,4.619174942704355,11244,994,8098,0.97894332159119,3504805633.0
68,2020-08-04,1447047471.0,21232,7.087302805947032,19745,1422,15708,1.0339167450684568,3755968745.0
69,2020-08-05,938042837.0,12704,4.544462688115501,11403,1196,8557,0.973243008516982,3651612911.0
70,2020-08-06,972756655.0,15569,5.25642324183801,12346,990,9372,1.0318640880172525,3881351149.0
71,2020-08-07,1114581125.0,25254,9.046489801474433,19407,1232,15340,0.9785514082163238,3833011739.0
72,2020-08-08,2628404054.0,41475,15.383845015411666,32543,1749,27190,1.216125254633552,4845217045.0
73,2020-08-09,2806896723.0,46858,17.278278440684964,34281,1826,29389,1.4059060092568696,5287678051.0
74,2020-08-10,2028403804.0,36118,10.942262131980923,26085,1522,21951,1.339469045907795,5133968044.0
75,2020-08-11,1625438904.0,31750,10.228803020638018,22852,1312,18866,1.3621314585265238,5000617063.0
76,2020-08-12,2814803870.0,33972,10.681339412042131,26258,1726,22341,1.654902829573637,6325432264.0
77,2020-08-13,3777489721.0,37190,7.861764848884577,29879,1861,25121,1.6062747707615577,6556411637.0
78,2020-08-14,1745909239.0,18495,4.204259497943903,16965,1571,13331,1.6548847005102734,6483716551.0
79,2020-08-15,2816710820.0,32564,11.078262940345985,29053,1674,24787,1.751321674469657,7313495643.0
80,2020-08-16,1708751790.0,28352,10.32968874671641,23072,1398,19667,1.8367981993970413,7225079608.0
81,2020-08-17,3955767047.0,25138,7.684453791787924,20208,1227,17020,1.582111203770609,6405078948.0
82,2020-08-18,3291454824.0,27359,8.77222795800976,23986,2403,19242,1.565539317193808,6200913347.0
83,2020-08-19,2337890310.0,20732,7.383480122084554,16596,1452,12992,1.6085867671477758,6227791543.0
84,2020-08-20,1460763858.0,22686,7.725286812255031,15767,824,13090,1.5654072511669603,6179273377.0
85,2020-08-21,2840428319.0,30272,10.112611032607424,24107,2069,20048,1.388307063576595,5311144492.0
86,2020-08-22,2209031425.0,27196,10.846424739866872,21083,1436,17684,1.575399093095606,6140603269.0
87,2020-08-23,1386285471.0,24130,9.738792115331837,16593,997,13842,1.477023115943764,5822541978.0
88,2020-08-24,1161688474.0,20342,7.270322914991333,14549,715,12131,1.4820845909334357,5833792610.0
89,2020-08-25,1440889257.0,20981,6.729618854864629,15782,1237,12913,1.4404933773454878,5448024086.0
90,2020-08-26,1444483454.0,21497,7.49643433776324,16113,1223,12789,1.5233224619781054,5839291550.0
91,2020-08-27,1262648819.0,18197,6.225517196550085,13189,1261,10144,1.4798649162506563,5573752998.0
92,2020-08-28,997602215.0,24032,8.416422390093052,19062,1880,14342,1.5106145149393737,5827823842.0
93,2020-08-29,1594782564.0,31823,12.39710631600681,25416,2776,19001,1.6443995860741984,6370269402.0
94,2020-08-30,1674023898.0,20718,9.042581050646833,16436,1678,12414,1.5880807322090864,6357030195.0
95,2020-08-31,1298163290.0,14017,4.945995250546046,12600,1154,9382,1.4943786825605736,6055065291.0
96,2020-09-01,1422194509.0,14191,4.551023026104804,12183,1800,8720,1.4480359283082234,6197013803.0
97,2020-09-02,1324227089.0,16763,5.829229956045179,13898,1346,11053,1.3917339890792153,5709833803.0
98,2020-09-03,1533421140.0,13006,4.756854024636451,10754,930,8620,1.2681098489023428,4593519845.0
99,2020-09-04,1762349349.0,16837,6.14484565806089,13468,1271,10590,1.305423041162316,4799917653.0
