,DATE,VOLUME,SOCIAL_VOLUME,SOCIAL_DOMINANCE,TWITTER_VOLUME,BEARISH_SENTIMENT,BULLISH_SENTIMENT,MARKET_DOMINANCE,MARKET_CAP
0,2020-05-28,17681075.0,304,0.1087971827255841,260,16,219,0.0184348005134976,52548997.0
1,2020-05-29,14195449.0,309,0.1189092672264509,270,8,244,0.0186660884879216,53307496.0
2,2020-05-30,16911065.0,512,0.2224626440901842,448,56,345,0.0183592209853171,53704809.0
3,2020-05-31,17186374.0,238,0.1072753415457565,171,30,124,0.0184625642013077,52865671.0
4,2020-06-01,15743619.0,438,0.1624243503025987,304,49,208,0.0176730927923284,53879213.0
5,2020-06-02,17724745.0,205,0.0670574535177358,155,16,120,0.0184666896541193,53419189.0
6,2020-06-03,15256506.0,177,0.0676160933942515,138,30,85,0.0187063267782371,55231016.0
7,2020-06-04,15726735.0,292,0.1128415194960776,223,17,180,0.0186191791086324,55355595.0
8,2020-06-05,13999683.0,202,0.0801040559618038,151,22,114,0.0186050572717275,54611841.0
9,2020-06-06,11433441.0,209,0.0942443318121967,154,21,92,0.0186589611722472,54979465.0
10,2020-06-07,13443805.0,173,0.0842583077230288,133,12,114,0.018576616386426,54794202.0
11,2020-06-08,11958120.0,246,0.0998644117336624,203,22,163,0.0185636709028593,55463009.0
12,2020-06-09,12761716.0,358,0.1427506210449504,305,63,198,0.0184162948745268,54869625.0
13,2020-06-10,15738618.0,236,0.0815325352818227,180,36,127,0.0191593964740694,57600111.0
14,2020-06-11,20882024.0,344,0.123914398204682,290,19,236,0.0191120546860026,54012338.0
15,2020-06-12,15258350.0,618,0.2332119473952338,582,35,521,0.0194527847686133,56013234.0
16,2020-06-13,13976541.0,303,0.124280159472363,248,33,207,0.0197610884629505,57143433.0
17,2020-06-14,14302735.0,241,0.1068897306023968,196,12,154,0.0192949577482082,54871204.0
18,2020-06-15,14359351.0,279,0.1127714700306787,204,9,172,0.0187939741032933,53261449.0
19,2020-06-16,12828939.0,420,0.1596606071664804,359,20,324,0.0189164616322556,54512723.0
20,2020-06-17,12244840.0,215,0.0779033491193298,166,12,146,0.0188741405129918,54116095.0
21,2020-06-18,13595912.0,335,0.1219694239038225,283,11,261,0.0195343517532174,55419209.0
22,2020-06-19,14496020.0,572,0.2202151332455552,457,21,371,0.0194535781142754,54934380.0
23,2020-06-20,14642639.0,557,0.2364176570458404,465,54,372,0.0197045723495256,55966614.0
24,2020-06-21,18075168.0,422,0.1923427529626253,327,28,251,0.0202646143923235,57362960.0
25,2020-06-22,19922512.0,346,0.1187204271190395,272,19,243,0.020821696521994,60887687.0
26,2020-06-23,14608516.0,307,0.102133492133725,259,26,171,0.0205259814733664,59749192.0
27,2020-06-24,11757121.0,436,0.1587648386861845,370,17,305,0.0201204822190002,56945236.0
28,2020-06-25,12615510.0,662,0.2573132147049449,540,34,446,0.0201893246066471,56719123.0
29,2020-06-26,13597989.0,510,0.1940203683343541,430,42,347,0.0192553602864639,53696359.0
30,2020-06-27,10949465.0,555,0.2379196817449158,447,63,352,0.0181880788123666,49128270.0
31,2020-06-28,11869691.0,456,0.1889372280919826,364,58,258,0.0183286948319798,50166137.0
32,2020-06-29,11430972.0,507,0.1882959403098155,421,30,374,0.0180996599955709,50094172.0
33,2020-06-30,10615026.0,421,0.1310110254646846,357,32,271,0.0183292180380003,50448614.0
34,2020-07-01,11363710.0,673,0.2515737376455987,377,33,145,0.0187875890800846,52371010.0
35,2020-07-02,7559189.0,623,0.2643908401093212,489,81,209,0.0184765106731106,50547555.0
36,2020-07-03,9537613.0,441,0.1844594001095881,392,45,222,0.0186581401345331,51066771.0
37,2020-07-04,11956963.0,615,0.2757118071900259,499,55,138,0.0186967037645196,51862470.0
38,2020-07-05,12254706.0,701,0.3676875547466313,593,64,139,0.0184947323522204,50961339.0
39,2020-07-06,11905960.0,669,0.2446874657108372,589,66,98,0.0181480487190737,51590706.0
40,2020-07-07,12001979.0,937,0.3453664865502421,850,188,187,0.0187672442431595,53060168.0
41,2020-07-08,11845216.0,584,0.1653149901631919,466,107,192,0.0185873626542294,54235034.0
42,2020-07-09,13762591.0,501,0.18964773217652,427,54,199,0.0187029739517348,53584318.0
43,2020-07-10,13463062.0,495,0.1935612533384428,446,36,276,0.0190131976633658,53959241.0
44,2020-07-11,11757851.0,805,0.3841986951562328,713,62,330,0.0190918072192325,54086837.0
45,2020-07-12,12423028.0,324,0.1558411574572879,240,23,89,0.0185120766096501,53917519.0
46,2020-07-13,15017469.0,231,0.0866385372714486,180,31,73,0.0191317074016459,54341583.0
47,2020-07-14,11974271.0,334,0.1199997125755387,284,72,82,0.0184562468199997,53328091.0
48,2020-07-15,11116521.0,281,0.0499867472858619,240,28,92,0.0183480151201079,52595314.0
49,2020-07-16,10528302.0,325,0.0647629675388079,253,54,60,0.0182473247899234,51887756.0
50,2020-07-17,9764097.0,485,0.1676958930065626,427,41,130,0.0181065437366488,51846210.0
51,2020-07-18,9933440.0,348,0.1512307050479766,288,38,94,0.0185940432399616,52777169.0
52,2020-07-19,14706784.0,548,0.2468157169366026,473,108,168,0.0194412741590771,55566541.0
53,2020-07-20,16594920.0,538,0.2192633891273072,456,71,181,0.0191826028267191,55045413.0
54,2020-07-21,61361186.0,1632,0.5828217572504526,1357,160,472,0.0212764834122059,62539839.0
55,2020-07-22,24866600.0,958,0.2828019235254005,850,126,303,0.0205202122218007,62335672.0
56,2020-07-23,22536104.0,687,0.2224337555365607,547,108,201,0.021215450848725,63632191.0
57,2020-07-24,17104604.0,1130,0.4275331338178709,841,227,244,0.0205302990332721,61317621.0
58,2020-07-25,17938817.0,530,0.2261700030298246,404,64,221,0.0199950779038853,61611439.0
59,2020-07-26,18473696.0,212,0.094880906560209,170,43,87,0.0187578101817411,59055321.0
60,2020-07-27,24352628.0,585,0.1556447149972329,415,49,294,0.0162277295269731,54702725.0
61,2020-07-28,23590802.0,499,0.1280906029242648,421,90,198,0.0166407186840489,56582924.0
62,2020-07-29,38564360.0,843,0.2287478834715408,595,130,271,0.0189261918310988,64472636.0
63,2020-07-30,18960321.0,468,0.1554213146384959,387,72,199,0.0181563276879988,62506050.0
64,2020-07-31,16475392.0,312,0.1147945104676404,245,62,95,0.0174270501520397,61089111.0
65,2020-08-01,16330458.0,351,0.1223435588381893,286,57,115,0.0166515710910725,61883988.0
66,2020-08-02,17043646.0,182,0.0703232163211684,135,48,42,0.0166308557533144,58826783.0
67,2020-08-03,17654677.0,181,0.0691367456073338,139,28,83,0.016993501703864,60840009.0
68,2020-08-04,12012313.0,438,0.1462056626321025,327,53,134,0.016497233310374,59930447.0
69,2020-08-05,27363763.0,356,0.1273479783508437,273,38,157,0.0188656829172256,70784142.0
70,2020-08-06,39295586.0,514,0.173537256490766,409,62,200,0.0204458692860229,76907026.0
71,2020-08-07,70515310.0,444,0.1590497137821592,328,34,167,0.0249865510218515,97872981.0
72,2020-08-08,138871179.0,1452,0.5385736699789689,1229,181,592,0.0341037007218497,135874024.0
73,2020-08-09,197590566.0,1247,0.4598150415197864,1038,155,576,0.0351617233685772,132244881.0
74,2020-08-10,125053493.0,564,0.1708687037609292,451,68,245,0.0349188327752599,133838234.0
75,2020-08-11,71159625.0,981,0.3160458508108943,839,154,364,0.0325255183273471,119406729.0
76,2020-08-12,77744541.0,643,0.2021694702090866,544,105,204,0.0340998309058046,130337665.0
77,2020-08-13,52866600.0,694,0.1467078463330437,590,102,288,0.0309716082262824,126418354.0
78,2020-08-14,46300019.0,605,0.1375278181268484,509,148,213,0.0321153059887639,125825407.0
79,2020-08-15,48383050.0,370,0.1258738879722397,274,42,126,0.0310672743971747,129736518.0
80,2020-08-16,49827019.0,348,0.1267893511518521,245,42,105,0.0333860378787045,131324596.0
81,2020-08-17,50010575.0,358,0.1094372844880291,307,57,108,0.0313963897594739,127106334.0
82,2020-08-18,43747574.0,378,0.1211996844960594,312,66,119,0.03013005479991,119341531.0
83,2020-08-19,37164944.0,386,0.13746977267628,325,39,141,0.0284888846898984,110297336.0
84,2020-08-20,28863598.0,625,0.2128318900493429,537,171,230,0.0304317238211569,120125891.0
85,2020-08-21,43196385.0,498,0.1663610033773288,349,84,152,0.0325970860765165,124704281.0
86,2020-08-22,90405376.0,600,0.2392945596381866,483,83,248,0.0328529207483508,128054379.0
87,2020-08-23,41208709.0,350,0.1412588993106565,272,40,123,0.0308494572145204,121611001.0
88,2020-08-24,39412092.0,302,0.1079361675512428,237,39,98,0.0309533443896097,121838789.0
89,2020-08-25,51834212.0,464,0.1488271840549634,328,59,159,0.0302347821402782,114349586.0
90,2020-08-26,56082440.0,338,0.1178673678263932,283,63,126,0.0300450873009957,115170641.0
91,2020-08-27,99563444.0,356,0.1217939287779211,211,47,85,0.0331987012343331,125039359.0
92,2020-08-28,134661388.0,489,0.1712562645121297,340,69,179,0.0365613501106816,141050616.0
93,2020-08-29,136370273.0,534,0.2080273629999571,404,93,160,0.0369566636320803,143167090.0
94,2020-08-30,89134633.0,340,0.1483964454686709,276,83,75,0.0342873857453114,137251175.0
95,2020-08-31,74891842.0,738,0.2604083965829337,510,72,170,0.032287341052601,130824911.0
96,2020-09-01,79091845.0,271,0.08690911423257,235,36,112,0.0312403559457873,133696211.0
97,2020-09-02,71614207.0,340,0.1182329049129249,296,73,125,0.0325882102498652,133698872.0
98,2020-09-03,58145333.0,452,0.1653158556924247,403,67,183,0.0306042207896415,110858768.0
99,2020-09-04,63177364.0,423,0.1543784351939037,346,85,131,0.0318042941233947,116941396.0
100,2020-09-05,64609412.0,321,0.1428679517364464,275,77,156,0.0313614786832025,105018022.0
101,2020-09-06,47506277.0,218,0.1111966906232625,176,32,52,0.0294369958840961,104275023.0
102,2020-09-07,33125519.0,338,0.1545580918934738,273,49,116,0.0297254567847576,102496514.0
103,2020-09-08,18379749.0,429,0.1861106772866885,352,55,168,0.029375882710656,98756383.0
104,2020-09-09,15175645.0,133,0.0495329748089442,104,29,60,0.0300244576383626,102828143.0
105,2020-09-10,15772913.0,558,0.2138217768666296,476,40,233,0.0311820249382719,108801658.0
106,2020-09-11,18590500.0,425,0.1652654746813292,346,64,158,0.0320384359171165,112708670.0
107,2020-09-12,14838361.0,326,0.1584031408524615,249,55,96,0.02955920985723,112789367.0
108,2020-09-13,16076743.0,310,0.1580963163558289,249,41,80,0.0310950713945204,109073645.0
109,2020-09-14,13416773.0,204,0.0854682950332027,161,25,74,0.0303844195782266,109544129.0
