,DATE,VOLUME,SOCIAL_VOLUME,SOCIAL_DOMINANCE,TWITTER_VOLUME,BEARISH_SENTIMENT,BULLISH_SENTIMENT,MARKET_DOMINANCE,MARKET_CAP
0,2020-05-28,83167843.0,4608,1.6491362434193808,4459,110,2896,0.0303624942491833,86549275.0
1,2020-05-29,78420929.0,4070,1.5662159146008263,3859,126,3373,0.0311801086232278,89045625.0
2,2020-05-30,81077862.0,2110,0.9167894121685328,1999,65,1745,0.0280894823837717,82167990.0
3,2020-05-31,115366257.0,2727,1.229159060484362,2571,83,2069,0.0251307840664235,71959439.0
4,2020-06-01,69521508.0,3007,1.1150913729678416,2803,65,2499,0.024823668915651,75678873.0
5,2020-06-02,64070838.0,2283,0.7467910555170293,2152,26,1957,0.0248315223831609,71830946.0
6,2020-06-03,37589748.0,1656,0.6326115856546919,1522,88,1304,0.0251158245428403,74155259.0
7,2020-06-04,46367599.0,1930,0.7458360706418827,1804,108,1569,0.0250448028440667,74459242.0
8,2020-06-05,36926804.0,1479,0.5865044493440985,1347,46,1150,0.0246090911445105,72235616.0
9,2020-06-06,22258236.0,1034,0.4662614310708681,917,20,713,0.0244341956111715,71996452.0
10,2020-06-07,26391150.0,942,0.4587937911855095,827,126,636,0.0241153310736027,71131378.0
11,2020-06-08,16579047.0,838,0.3401885245236143,748,112,534,0.0238149510873527,71152352.0
12,2020-06-09,16737767.0,697,0.2779250918109791,626,22,516,0.0236260989190537,70391748.0
13,2020-06-10,54789829.0,1684,0.5817830059940233,1553,34,1288,0.0246535084743458,74117409.0
14,2020-06-11,40632363.0,1658,0.5972385820446596,1552,33,1159,0.0244252961322031,69028023.0
15,2020-06-12,21789322.0,1788,0.6747297118813562,1690,223,1347,0.0247091165457942,71148555.0
16,2020-06-13,17273978.0,1127,0.4622565667503404,1024,40,880,0.024964655816624,72190666.0
17,2020-06-14,31745816.0,920,0.4080437848722202,810,25,712,0.0251729805031812,71587187.0
18,2020-06-15,30165312.0,949,0.3835846776312333,847,37,759,0.0252268603297702,71492018.0
19,2020-06-16,21978066.0,1158,0.4402071026161531,1036,25,927,0.0250439317723643,72170628.0
20,2020-06-17,25708071.0,1559,0.5648898664048148,1307,29,1176,0.0252530262392385,72405690.0
21,2020-06-18,18653394.0,1688,0.6145802613422462,1336,33,1134,0.0251306043080591,71295850.0
22,2020-06-19,19228913.0,1502,0.5782572205154266,1130,39,896,0.0249098249578623,70342113.0
23,2020-06-20,49572280.0,2101,0.8917657045840407,1743,39,1455,0.0277099460463658,78704162.0
24,2020-06-21,44338630.0,1652,0.7529626253418414,1292,82,1089,0.0263347575194006,74545689.0
25,2020-06-22,36609278.0,1315,0.4512062475766965,951,37,747,0.0265839593303155,77737940.0
26,2020-06-23,26649270.0,1438,0.4783972693429855,1105,38,876,0.0271065592752249,78904632.0
27,2020-06-24,31502430.0,1682,0.6124827033719321,1379,46,1027,0.0274289725021383,77629815.0
28,2020-06-25,20651753.0,1399,0.5437782286589395,1062,27,864,0.0268656797563967,75475422.0
29,2020-06-26,24434093.0,1393,0.5299419080191281,1079,17,961,0.0262338705950626,73156945.0
